OBJECTID,LINEABBR,LINENAME,RTNAME,Shape__Length
95,95,I-95 GOLDEN GLADES EXPRESS,Route 95,148122.4687
96,99,NW DADE-AVENTURA MALL,Route 99,57845.27122
97,BALHVL,Bal Harbour Village Shuttle,Route BA*,27913.60041
98,BYHBIS,Bay Harbor Islands Shuttle,Route BY*,20405.70536
99,CGABLE,City of Coral Gables Trolley,Route CG*,10214.92558
100,DLOOP1,City of Doral Trolley (Rt. 1),Route DL*,32646.24632
101,DLOOP2,City of Doral Trolley (Rt. 2),Route DL*,26426.61529
102,DLOOP3,City of Doral Trolley (Rt. 3),Route DL*,21219.97565
103,HIAFLA,City of Hialeah Transit (Flamingo),Route HI*,30596.6817
104,HIAMAR,City of Hialeah Transit (Marlin),Route HI*,38478.5046
105,NBAYVL,City of North Bay Village Mini Bus,Route NB*,9609.770198
106,NMBLIN,City of North Miami Beach B-Line,Route NM*,14388.45382
107,NOMORG,City of North Miami Orange,Route NO*,13689.58622
108,PALBYA,Village of Palmetto Bay A,Route PA*,17913.67977
109,PALPNR,Village of Palmetto Bay Park & Ride,Route PA*,10393.42904
110,RAIL,REGULAR METRORAIL SCHEDULE,Route RA*,44264.80217
111,SURSID,Town of Sufside Shuttle,Route SU*,8700.725908
112,WESMIA,City of West Miami Shuttle,Route WE*,15853.52905
